slot,row,density
1,A,55
2,A,97
3,A,31
4,A,51
5,A,19
6,A,80
7,A,36
8,A,27
9,A,70
10,A,47
11,A,40
12,A,80
13,A,33
14,A,64
15,A,89
16,A,89
17,A,15
18,A,93
19,A,53
20,A,33
21,A,19
22,A,10
23,A,76
24,A,76
25,A,91
26,A,1
27,A,39
28,A,9
29,A,55
30,A,
31,A,
32,A,
33,A,
34,A,
35,A,
36,A,
37,A,
38,A,
39,A,
40,A,
41,A,
42,A,
43,A,
44,A,
1,B,86
2,B,28
3,B,80
4,B,23
5,B,35
6,B,71
7,B,49
8,B,80
9,B,56
10,B,95
11,B,95
12,B,41
13,B,59
14,B,92
15,B,40
16,B,13
17,B,62
18,B,97
19,B,4
20,B,78
21,B,97
22,B,44
23,B,30
24,B,77
25,B,27
26,B,97
27,B,57
28,B,77
29,B,4
30,B,56
31,B,
32,B,
33,B,
34,B,
35,B,
36,B,
37,B,
38,B,
39,B,
40,B,
41,B,
42,B,
43,B,
44,B,
1,C,13
2,C,25
3,C,65
4,C,50
5,C,18
6,C,67
7,C,22
8,C,4
9,C,91
10,C,76
11,C,42
12,C,12
13,C,15
14,C,85
15,C,75
16,C,62
17,C,63
18,C,26
19,C,2
20,C,100
21,C,58
22,C,32
23,C,25
24,C,33
25,C,48
26,C,14
27,C,20
28,C,65
29,C,98
30,C,100
31,C,
32,C,
33,C,
34,C,
35,C,
36,C,
37,C,
38,C,
39,C,
40,C,
41,C,
42,C,
43,C,
44,C,
1,D,59
2,D,42
3,D,25
4,D,25
5,D,93
6,D,66
7,D,46
8,D,42
9,D,52
10,D,59
11,D,4
12,D,27
13,D,7
14,D,51
15,D,88
16,D,17
17,D,99
18,D,9
19,D,28
20,D,5
21,D,74
22,D,84
23,D,91
24,D,22
25,D,56
26,D,78
27,D,62
28,D,37
29,D,27
30,D,20
31,D,
32,D,
33,D,
34,D,
35,D,
36,D,
37,D,
38,D,
39,D,
40,D,
41,D,
42,D,
43,D,
44,D,
1,E,62
2,E,8
3,E,8
4,E,97
5,E,93
6,E,15
7,E,24
8,E,69
9,E,52
10,E,19
11,E,15
12,E,92
13,E,69
14,E,72
15,E,88
16,E,31
17,E,21
18,E,100
19,E,58
20,E,45
21,E,76
22,E,77
23,E,72
24,E,18
25,E,63
26,E,80
27,E,73
28,E,39
29,E,19
30,E,24
31,E,
32,E,
33,E,
34,E,
35,E,
36,E,
37,E,
38,E,
39,E,
40,E,
41,E,
42,E,
43,E,
44,E,
1,F,48
2,F,93
3,F,18
4,F,44
5,F,43
6,F,40
7,F,97
8,F,38
9,F,84
10,F,71
11,F,30
12,F,96
13,F,36
14,F,63
15,F,18
16,F,54
17,F,69
18,F,46
19,F,55
20,F,80
21,F,57
22,F,76
23,F,72
24,F,7
25,F,36
26,F,35
27,F,78
28,F,88
29,F,11
30,F,67
31,F,
32,F,
33,F,
34,F,
35,F,
36,F,
37,F,
38,F,
39,F,
40,F,
41,F,
42,F,
43,F,
44,F,
1,G,81
2,G,27
3,G,20
4,G,74
5,G,46
6,G,79
7,G,27
8,G,99
9,G,30
10,G,95
11,G,46
12,G,24
13,G,35
14,G,49
15,G,63
16,G,84
17,G,53
18,G,9
19,G,14
20,G,65
21,G,15
22,G,22
23,G,78
24,G,83
25,G,42
26,G,2
27,G,52
28,G,69
29,G,28
30,G,94
31,G,
32,G,
33,G,
34,G,
35,G,
36,G,
37,G,
38,G,
39,G,
40,G,
41,G,
42,G,
43,G,
44,G,
1,H,78
2,H,26
3,H,69
4,H,83
5,H,13
6,H,89
7,H,21
8,H,92
9,H,17
10,H,59
11,H,35
12,H,17
13,H,99
14,H,36
15,H,50
16,H,24
17,H,4
18,H,74
19,H,68
20,H,99
21,H,1
22,H,24
23,H,9
24,H,70
25,H,83
26,H,96
27,H,28
28,H,1
29,H,41
30,H,3
31,H,
32,H,
33,H,
34,H,
35,H,
36,H,
37,H,
38,H,
39,H,
40,H,
41,H,
42,H,
43,H,
44,H,
1,I,54
2,I,63
3,I,51
4,I,28
5,I,65
6,I,22
7,I,93
8,I,6
9,I,33
10,I,10
11,I,52
12,I,94
13,I,10
14,I,4
15,I,54
16,I,69
17,I,99
18,I,73
19,I,99
20,I,79
21,I,24
22,I,47
23,I,47
24,I,35
25,I,63
26,I,1
27,I,15
28,I,73
29,I,30
30,I,54
31,I,
32,I,
33,I,
34,I,
35,I,
36,I,
37,I,
38,I,
39,I,
40,I,
41,I,
42,I,
43,I,
44,I,
1,J,99
2,J,33
3,J,38
4,J,87
5,J,6
6,J,85
7,J,96
8,J,34
9,J,81
10,J,63
11,J,78
12,J,79
13,J,85
14,J,83
15,J,77
16,J,45
17,J,37
18,J,39
19,J,100
20,J,82
21,J,88
22,J,30
23,J,34
24,J,56
25,J,31
26,J,35
27,J,19
28,J,95
29,J,64
30,J,
31,J,
32,J,
33,J,
34,J,
35,J,
36,J,
37,J,
38,J,
39,J,
40,J,
41,J,
42,J,
43,J,
44,J,
