slot,row,density
1,A,43
2,A,24
3,A,52
4,A,30
5,A,72
6,A,41
7,A,25
8,A,9
9,A,32
10,A,16
11,A,36
12,A,47
13,A,61
14,A,100
15,A,51
16,A,30
17,A,83
18,A,87
19,A,19
20,A,39
21,A,61
22,A,68
23,A,43
24,A,7
25,A,80
26,A,97
27,A,26
28,A,97
29,A,58
30,A,
31,A,
32,A,
33,A,
34,A,
35,A,
36,A,
37,A,
38,A,
39,A,
40,A,
41,A,
42,A,
43,A,
44,A,
1,B,39
2,B,95
3,B,96
4,B,84
5,B,55
6,B,17
7,B,39
8,B,18
9,B,57
10,B,92
11,B,28
12,B,25
13,B,37
14,B,35
15,B,40
16,B,26
17,B,17
18,B,12
19,B,30
20,B,30
21,B,72
22,B,22
23,B,43
24,B,50
25,B,46
26,B,75
27,B,13
28,B,95
29,B,64
30,B,90
31,B,
32,B,
33,B,
34,B,
35,B,
36,B,
37,B,
38,B,
39,B,
40,B,
41,B,
42,B,
43,B,
44,B,
1,C,35
2,C,36
3,C,34
4,C,21
5,C,74
6,C,48
7,C,61
8,C,46
9,C,41
10,C,18
11,C,74
12,C,28
13,C,67
14,C,15
15,C,28
16,C,69
17,C,32
18,C,51
19,C,49
20,C,79
21,C,28
22,C,75
23,C,14
24,C,57
25,C,58
26,C,11
27,C,4
28,C,23
29,C,58
30,C,63
31,C,
32,C,
33,C,
34,C,
35,C,
36,C,
37,C,
38,C,
39,C,
40,C,
41,C,
42,C,
43,C,
44,C,
1,D,56
2,D,47
3,D,54
4,D,100
5,D,59
6,D,72
7,D,36
8,D,68
9,D,97
10,D,60
11,D,84
12,D,60
13,D,31
14,D,20
15,D,100
16,D,51
17,D,37
18,D,71
19,D,83
20,D,16
21,D,47
22,D,22
23,D,68
24,D,53
25,D,10
26,D,78
27,D,70
28,D,43
29,D,49
30,D,16
31,D,
32,D,
33,D,
34,D,
35,D,
36,D,
37,D,
38,D,
39,D,
40,D,
41,D,
42,D,
43,D,
44,D,
1,E,48
2,E,51
3,E,83
4,E,85
5,E,30
6,E,61
7,E,95
8,E,88
9,E,9
10,E,46
11,E,32
12,E,21
13,E,19
14,E,82
15,E,17
16,E,25
17,E,12
18,E,32
19,E,68
20,E,53
21,E,21
22,E,99
23,E,98
24,E,51
25,E,3
26,E,91
27,E,61
28,E,10
29,E,19
30,E,13
31,E,
32,E,
33,E,
34,E,
35,E,
36,E,
37,E,
38,E,
39,E,
40,E,
41,E,
42,E,
43,E,
44,E,
1,F,14
2,F,77
3,F,79
4,F,96
5,F,51
6,F,8
7,F,82
8,F,56
9,F,62
10,F,59
11,F,46
12,F,97
13,F,29
14,F,68
15,F,25
16,F,89
17,F,7
18,F,58
19,F,48
20,F,35
21,F,93
22,F,21
23,F,18
24,F,69
25,F,45
26,F,43
27,F,96
28,F,66
29,F,41
30,F,66
31,F,
32,F,
33,F,
34,F,
35,F,
36,F,
37,F,
38,F,
39,F,
40,F,
41,F,
42,F,
43,F,
44,F,
1,G,58
2,G,7
3,G,83
4,G,17
5,G,73
6,G,84
7,G,66
8,G,70
9,G,100
10,G,95
11,G,52
12,G,35
13,G,11
14,G,54
15,G,79
16,G,30
17,G,76
18,G,27
19,G,86
20,G,36
21,G,86
22,G,62
23,G,30
24,G,47
25,G,3
26,G,9
27,G,20
28,G,1
29,G,90
30,G,38
31,G,
32,G,
33,G,
34,G,
35,G,
36,G,
37,G,
38,G,
39,G,
40,G,
41,G,
42,G,
43,G,
44,G,
1,H,62
2,H,70
3,H,9
4,H,14
5,H,25
6,H,29
7,H,18
8,H,93
9,H,91
10,H,61
11,H,80
12,H,79
13,H,97
14,H,50
15,H,31
16,H,53
17,H,56
18,H,52
19,H,93
20,H,12
21,H,6
22,H,51
23,H,75
24,H,82
25,H,9
26,H,9
27,H,6
28,H,82
29,H,38
30,H,77
31,H,
32,H,
33,H,
34,H,
35,H,
36,H,
37,H,
38,H,
39,H,
40,H,
41,H,
42,H,
43,H,
44,H,
1,I,8
2,I,93
3,I,50
4,I,50
5,I,15
6,I,11
7,I,15
8,I,93
9,I,34
10,I,55
11,I,27
12,I,87
13,I,34
14,I,10
15,I,84
16,I,40
17,I,73
18,I,14
19,I,39
20,I,59
21,I,92
22,I,30
23,I,55
24,I,71
25,I,81
26,I,85
27,I,23
28,I,60
29,I,89
30,I,52
31,I,
32,I,
33,I,
34,I,
35,I,
36,I,
37,I,
38,I,
39,I,
40,I,
41,I,
42,I,
43,I,
44,I,
1,J,10
2,J,15
3,J,45
4,J,94
5,J,65
6,J,6
7,J,18
8,J,84
9,J,62
10,J,81
11,J,88
12,J,69
13,J,47
14,J,82
15,J,93
16,J,85
17,J,46
18,J,66
19,J,58
20,J,4
21,J,4
22,J,89
23,J,75
24,J,4
25,J,68
26,J,48
27,J,29
28,J,54
29,J,12
30,J,
31,J,
32,J,
33,J,
34,J,
35,J,
36,J,
37,J,
38,J,
39,J,
40,J,
41,J,
42,J,
43,J,
44,J,
